품목,롯데백화점,농협하나로클럽,홈플러스,GS슈퍼,롯데키즈마트,동의마트
주소,부산 부산진구 가야대로 772,부산 부산진구 중앙대로783번길 14,부산 부산진구 동천로 4,부산 부산진구 당감서로80번길 19,부산 부산진구 신천대로 241,부산광역시 부산진구 엄광로 176
쌀,65900,47500,49900,59800,53900,미판매
밀가루,1960,4600,4600,4980,4600,미판매
라면,1000,820,820,820,820,800
설탕,5850,1980,1980,2180,1980,미판매
식용유,5180,10800,10800,8480,6680,미판매
두부,4600,5280,4490,3840,4700,3500
참기름,6980,7580,7690,7980,7060,미판매
간장,6780,6350,6750,7480,5720,미판매
분말커피,9000,24800,7990,8050,7920,미판매
커피크림,2900,5100,2730,2660,1930,미판매
가루비누,8690,9900,19800,8500,7920,미판매
화장지,21900,21900,27000,10000,34000,미판매
우유,2650,2550,2570,2650,2570,미판매
콜라,4500,3400,3740,2240,1433,미판매
소주,1650,1390,1380,1430,1380,미판매
맥주,1600,1540,1810,1830,1580,미판매
달걀,5500,4110,3890,4980,4990,미판매
쇠고기(한우),21800,10660,13590,15600,11800,미판매
쇠고기(수입),미판매,미판매,16450,미판매,16900,미판매
돼지고기,3580,3280,2590,3160,2680,미판매
닭고기,9800,5530,8490,9980,9980,미판매
부엌용세제,3520,3980,10900,2500,4700,미판매
사이다,3580,2880,2880,3080,2233,미판매
배추,9900,4980,5490,3980,4320,미판매
무,5900,3980,2990,3980,2560,미판매
대파,2900,1980,3590,2980,2890,미판매
양파,6300,2326,2990,2760,2320,미판매
마늘,2280,1228,1590,1980,1330,미판매
고춧가루,9800,3190,4760,4900,1400,미판매
사과,19800,17960,29970,14700,15980,미판매
배,17800,9950,17900,24500,39750,미판매
밀감,3120,4650,4660,5200,7450,미판매
고등어,7800,3990,2700,5800,2450,미판매
조기,28000,미판매,미판매,미판매,11900,미판매
명태,미판매,미판매,3500,5900,6800,미판매
오징어,11800,8900,10000,4900,9900,미판매
갈치,미판매,미판매,6600,9900,9960,미판매
